years_experience,education_level,job_role,performance_score,certifications_count,work_hours_per_week,salary
18.0,Bachelor's,Data Scientist,2.0,2,25.9,150359.79
0.9,PhD,Software Engineer,4.9,5,25.4,103045.38
13.4,Bachelor's,Software Engineer,4.9,4,25.3,152829.16
19.3,Master's,Data Scientist,1.5,2,30.4,176230.54
11.4,Bachelor's,Analyst,3.8,0,45.7,115512.37
18.8,Bachelor's,HR,1.9,3,28.3,136465.0
1.5,Master's,Software Engineer,3.9,2,46.4,93974.38
8.7,Bachelor's,Analyst,4.1,3,58.9,116220.96
5.6,Bachelor's,HR,1.2,4,54.5,87437.39
14.8,Master's,Analyst,3.8,0,51.9,143684.42
19.6,Master's,Data Scientist,4.6,3,58.0,197262.81
5.5,Master's,Software Engineer,1.9,1,44.5,103655.72
13.3,PhD,Software Engineer,1.5,2,50.8,145698.57
4.4,Bachelor's,Software Engineer,3.3,3,51.0,111728.81
11.5,Master's,Data Scientist,3.1,5,59.0,155559.16
9.5,Master's,HR,4.5,5,45.9,124359.91
19.5,PhD,HR,2.8,1,30.9,166064.29
12.4,PhD,Software Engineer,2.7,3,27.8,150793.03
7.3,Master's,HR,3.9,4,32.3,102468.79
2.7,Master's,Software Engineer,1.3,5,50.5,99232.97
3.4,Bachelor's,HR,1.2,2,46.3,73488.59
4.9,Bachelor's,Software Engineer,3.0,2,28.8,97843.6
5.4,Master's,HR,1.4,1,54.4,82044.19
17.1,Master's,Analyst,4.8,5,59.3,168862.73
11.4,Master's,Software Engineer,3.6,5,50.3,148319.62
10.7,Master's,Software Engineer,4.0,0,22.5,131447.44
2.7,Bachelor's,Manager,1.9,5,45.1,100461.73
17.3,Master's,Software Engineer,3.0,0,57.5,170095.3
14.6,Bachelor's,HR,1.5,1,32.5,118816.13
1.8,Bachelor's,Analyst,1.8,3,43.4,71724.54
14.3,Bachelor's,Analyst,3.3,0,29.1,126096.38
11.1,PhD,HR,2.1,2,55.2,125478.54
2.1,Bachelor's,Data Scientist,4.7,1,54.8,106180.4
9.4,Master's,Software Engineer,5.0,1,34.6,137738.55
10.0,Bachelor's,Analyst,1.0,2,34.0,100539.54
3.7,Bachelor's,HR,4.0,0,20.0,66954.79
18.9,PhD,Analyst,1.5,4,32.7,169947.81
17.1,Master's,Analyst,3.3,1,51.3,158253.06
13.5,Bachelor's,HR,1.9,5,21.1,119381.5
9.5,Bachelor's,Manager,4.9,3,28.1,138675.79
8.5,PhD,Analyst,4.5,1,49.2,123675.78
13.2,Bachelor's,Analyst,3.4,5,45.9,135374.13
11.1,Master's,Data Scientist,1.7,5,59.5,138569.09
1.7,Bachelor's,Manager,4.1,4,35.6,106223.1
10.5,Bachelor's,Data Scientist,3.1,2,25.3,129066.62
16.2,Bachelor's,HR,3.4,5,46.6,140389.07
9.5,Master's,Software Engineer,3.9,0,23.2,125025.67
1.5,Master's,HR,2.7,2,24.7,64055.06
15.8,Bachelor's,Manager,1.0,2,42.7,152431.44
4.4,Master's,HR,2.5,0,38.9,84415.77
5.5,PhD,Manager,2.7,2,30.5,126840.9
3.7,PhD,Data Scientist,2.5,5,39.1,125851.69
6.9,Bachelor's,Analyst,4.3,2,54.7,101932.63
15.3,Bachelor's,HR,2.3,1,49.0,126339.26
10.6,PhD,HR,2.7,3,38.2,136423.86
4.5,Bachelor's,Analyst,1.2,0,32.5,80036.21
17.6,Bachelor's,HR,3.9,1,43.3,150043.0
17.7,PhD,HR,1.9,5,20.1,162921.3
17.5,Bachelor's,Software Engineer,1.9,4,49.3,159033.99
5.2,Bachelor's,Software Engineer,3.3,1,52.1,98660.83
9.3,Bachelor's,Analyst,4.9,1,24.9,104587.93
19.7,Master's,Data Scientist,2.6,2,36.1,181160.69
15.6,Bachelor's,HR,2.3,3,25.8,125728.53
1.0,PhD,HR,1.1,1,58.0,72061.32
1.8,Master's,Data Scientist,4.1,4,53.0,110798.01
9.5,Master's,HR,2.0,2,20.8,107837.15
18.2,Bachelor's,Data Scientist,4.1,1,58.8,164303.71
11.0,Bachelor's,Analyst,2.1,4,25.7,118576.1
10.2,Master's,Analyst,1.1,0,23.4,105947.46
2.6,Bachelor's,Data Scientist,3.0,5,21.3,102871.65
13.3,PhD,Data Scientist,4.6,1,51.6,173026.73
16.5,Bachelor's,Manager,1.8,0,57.0,165992.71
7.9,Master's,Software Engineer,1.6,0,23.8,108481.16
15.6,Bachelor's,Software Engineer,1.7,4,59.3,149702.74
19.3,Master's,HR,3.8,2,32.6,160743.84
4.5,Bachelor's,HR,2.5,3,47.2,81780.0
10.7,Bachelor's,Data Scientist,2.0,3,59.5,131615.0
6.1,PhD,Data Scientist,2.4,1,20.3,128341.07
16.0,Master's,Software Engineer,2.2,5,41.9,157785.49
11.8,Master's,HR,3.2,4,46.2,131367.69
12.9,Master's,Software Engineer,1.5,0,34.9,133022.96
16.1,Master's,Analyst,3.0,1,24.4,138033.76
8.2,Bachelor's,Software Engineer,2.2,2,44.8,115805.44
18.3,Bachelor's,Software Engineer,4.7,5,21.9,167296.61
10.9,Master's,Data Scientist,2.7,5,56.9,151316.81
3.6,Bachelor's,HR,1.4,3,38.5,69469.05
14.1,Master's,Analyst,4.7,5,56.4,151192.73
16.0,Bachelor's,Software Engineer,4.8,3,53.5,160577.42
6.7,Bachelor's,Software Engineer,1.7,0,20.1,98213.18
17.2,Bachelor's,Data Scientist,4.3,5,38.4,172402.83
18.2,Master's,Manager,4.4,1,55.5,189496.67
5.9,Master's,HR,2.4,5,34.9,101444.33
19.7,Bachelor's,HR,1.6,1,32.9,149480.15
3.2,Bachelor's,HR,4.2,3,47.4,81548.61
4.4,PhD,Software Engineer,1.1,2,48.2,112415.65
4.1,Bachelor's,Software Engineer,3.5,4,45.7,100257.65
17.9,Master's,Software Engineer,2.4,5,34.5,169190.4
13.3,PhD,Manager,3.4,0,22.5,171793.86
3.5,PhD,Software Engineer,4.2,3,56.9,118949.64
9.1,PhD,HR,4.3,3,32.7,123670.12
12.5,Bachelor's,HR,5.0,1,51.8,129115.38
2.1,PhD,Data Scientist,3.6,0,34.1,114908.87
17.7,Master's,Manager,1.9,3,39.8,172928.93
16.2,Master's,Analyst,2.1,3,34.9,145376.69
10.4,Bachelor's,Software Engineer,2.7,5,23.3,124669.3
19.4,PhD,Analyst,4.4,3,33.2,179018.33
8.6,Master's,Software Engineer,2.5,5,58.2,132147.42
19.7,Master's,Manager,3.8,0,24.4,187102.32
13.5,Bachelor's,Manager,1.2,5,42.2,147953.11
12.9,Bachelor's,HR,2.7,3,58.7,113494.1
3.7,PhD,Manager,1.7,3,20.8,121156.67
17.7,Master's,Analyst,4.8,5,22.8,162600.14
8.8,Bachelor's,Analyst,4.2,1,56.4,106100.9
3.7,Master's,Manager,1.6,2,49.4,112410.96
0.7,Bachelor's,Analyst,2.6,4,41.8,75173.72
11.4,Bachelor's,Software Engineer,1.3,5,41.5,125864.52
10.8,Bachelor's,Data Scientist,4.0,0,59.0,135147.15
14.5,Bachelor's,HR,1.8,4,20.8,117429.96
17.9,Bachelor's,Data Scientist,4.2,3,30.8,168284.03
2.0,Bachelor's,Analyst,1.3,2,32.7,76987.36
14.8,Bachelor's,HR,3.3,1,24.8,126703.88
4.2,Master's,Data Scientist,3.4,1,34.3,110912.38
17.2,PhD,Data Scientist,2.3,0,34.8,173416.41
16.5,Master's,Analyst,1.7,2,58.4,147239.6
11.0,Bachelor's,HR,2.3,5,37.7,116429.38
14.3,Bachelor's,HR,3.0,0,57.4,125842.85
6.6,Master's,Data Scientist,4.9,1,52.4,135724.47
9.7,PhD,HR,2.8,3,49.5,134996.56
16.5,Bachelor's,HR,1.8,0,33.2,125038.14
9.5,Bachelor's,Software Engineer,1.1,2,37.1,115084.82
7.5,Master's,Analyst,1.0,5,21.8,101758.92
10.1,Master's,Analyst,2.7,0,35.1,121573.47
16.7,Bachelor's,Software Engineer,2.2,5,54.8,152785.27
7.0,Master's,Data Scientist,1.5,1,51.3,119457.35
3.9,Master's,Manager,1.7,0,52.3,116036.74
14.4,PhD,Data Scientist,2.4,3,28.9,166560.84
16.6,Bachelor's,Software Engineer,3.7,5,28.4,151743.67
2.5,PhD,HR,3.4,1,46.5,95775.29
5.2,Bachelor's,Software Engineer,1.3,5,46.1,100530.35
3.3,Master's,Analyst,1.6,0,27.8,76471.36
7.3,Master's,HR,4.6,4,48.8,119335.89
9.3,Bachelor's,Data Scientist,1.3,5,35.0,127327.19
15.1,Master's,HR,1.8,4,55.5,141589.7
13.2,Bachelor's,Analyst,2.3,1,34.6,120338.3
12.6,Bachelor's,Software Engineer,1.9,3,29.2,127220.72
7.4,Bachelor's,Data Scientist,2.2,2,27.8,119694.45
16.9,Master's,Manager,3.9,3,55.9,189135.94
9.7,Bachelor's,Manager,1.4,0,54.4,126570.04
19.6,PhD,Software Engineer,2.4,1,37.0,174132.26
12.9,Bachelor's,Data Scientist,3.4,4,29.6,140162.71
3.0,Bachelor's,Data Scientist,1.2,2,31.4,85299.13
13.7,Bachelor's,HR,1.2,1,35.4,115451.24
6.8,Master's,Software Engineer,3.0,1,21.8,112138.07
13.9,Bachelor's,HR,4.6,1,22.7,129268.51
1.9,Bachelor's,Software Engineer,2.8,0,57.1,73936.38
3.9,Bachelor's,Analyst,2.6,4,50.6,89920.91
17.2,Bachelor's,Software Engineer,1.0,5,52.6,157495.46
4.9,Master's,HR,3.9,4,39.1,92332.28
16.8,Master's,Data Scientist,1.7,4,34.6,161000.06
5.9,Bachelor's,Software Engineer,3.8,2,23.7,100654.31
13.0,Bachelor's,Data Scientist,2.4,5,42.3,144885.39
14.0,PhD,Analyst,1.2,5,49.7,147985.84
10.5,Bachelor's,Manager,2.3,5,27.8,138222.7
6.5,PhD,Manager,3.6,0,35.6,135816.32
4.6,Bachelor's,HR,4.1,3,57.1,91224.68
1.1,Bachelor's,Software Engineer,3.5,4,53.8,86434.42
6.4,Master's,Analyst,3.8,3,51.9,108469.33
13.2,PhD,Analyst,1.9,1,21.6,137432.44
18.8,Bachelor's,Data Scientist,4.9,5,26.6,178026.68
17.5,Bachelor's,HR,1.9,1,32.2,134389.0
15.4,Bachelor's,Analyst,1.7,1,32.1,127269.34
15.9,PhD,Software Engineer,2.0,4,25.2,168625.69
13.5,Master's,Analyst,4.9,5,31.6,144885.96
5.6,Bachelor's,Manager,1.3,1,37.1,108350.88
18.2,Bachelor's,HR,4.1,0,22.0,145330.12
13.6,Bachelor's,Data Scientist,1.4,5,36.1,139097.52
11.4,Bachelor's,Software Engineer,4.1,1,39.9,127966.19
2.7,Bachelor's,Manager,2.1,4,21.6,102794.47
9.2,Master's,Analyst,3.9,0,47.0,115457.45
9.5,Bachelor's,HR,1.2,4,23.2,102395.93
17.4,Bachelor's,HR,2.3,1,45.9,129279.76
11.2,Master's,Software Engineer,2.9,0,59.8,137808.7
7.9,Bachelor's,Data Scientist,1.1,1,22.4,102775.84
19.5,Bachelor's,Manager,1.7,0,30.9,171238.33
2.7,Bachelor's,Data Scientist,1.7,3,25.2,93496.82
8.7,Bachelor's,Software Engineer,2.9,0,34.8,106631.27
1.3,Master's,Software Engineer,1.5,3,53.4,85660.45
14.9,Master's,Manager,4.9,1,57.2,181741.13
18.4,Bachelor's,HR,4.5,0,53.6,148348.56
6.0,Bachelor's,HR,1.9,4,47.6,88839.23
17.2,Bachelor's,Manager,1.9,5,48.7,170226.25
6.2,Master's,Data Scientist,4.8,0,24.8,118209.59
18.3,Master's,Manager,2.2,0,29.9,172380.52
15.2,Bachelor's,HR,2.7,5,34.6,131299.81
16.2,Bachelor's,Data Scientist,3.8,0,22.0,147228.45
0.9,Bachelor's,Analyst,2.4,2,52.9,75034.87
19.3,Master's,Data Scientist,4.6,4,30.2,182777.9
14.7,PhD,HR,3.4,0,22.1,147713.59
6.4,PhD,Software Engineer,3.3,0,22.9,122606.06
16.7,Bachelor's,Data Scientist,3.2,1,58.8,155601.99
6.0,Master's,Data Scientist,1.4,5,56.5,116446.6
17.5,Master's,Software Engineer,4.2,5,58.3,176727.69
2.7,PhD,HR,3.3,4,58.3,98430.43
14.2,Bachelor's,Analyst,1.2,0,52.0,120542.84
11.0,Master's,Analyst,4.4,0,31.0,129459.22
2.4,Bachelor's,Manager,3.9,0,33.0,102147.69
5.2,Master's,Analyst,2.2,3,36.1,102741.09
0.7,Bachelor's,Analyst,2.1,2,51.4,64492.34
9.6,Master's,Data Scientist,3.0,4,57.1,133788.05
6.4,PhD,Manager,1.0,3,37.6,131397.59
12.2,Bachelor's,Analyst,4.2,0,32.1,125327.39
6.3,Master's,Data Scientist,4.8,5,29.7,126081.71
6.3,Bachelor's,Manager,2.8,4,30.3,126756.94
15.0,Bachelor's,Data Scientist,3.1,3,20.3,144777.17
1.4,Bachelor's,Software Engineer,4.2,2,29.4,87216.7
18.1,Bachelor's,HR,2.1,3,31.8,139556.51
17.1,PhD,HR,3.0,1,51.0,151309.44
13.5,Bachelor's,HR,1.4,0,41.9,111389.78
12.1,Master's,Analyst,3.8,3,33.2,135809.69
17.9,PhD,HR,4.2,5,43.9,171341.29
4.1,PhD,HR,1.3,2,51.5,94548.91
2.0,Master's,Manager,4.5,5,44.4,120455.11
5.2,Bachelor's,Manager,2.5,5,22.8,114812.32
16.0,Master's,Manager,4.7,0,29.6,163482.83
1.2,Bachelor's,Analyst,4.6,1,31.4,72047.84
11.9,PhD,HR,4.2,5,34.5,139414.25
19.9,Master's,Analyst,4.3,1,21.0,168067.85
17.2,Master's,Analyst,2.2,3,49.8,157591.5
10.7,Bachelor's,Analyst,2.5,0,38.8,110339.26
1.7,Master's,Analyst,2.0,3,55.9,85783.39
16.7,Master's,Analyst,2.4,1,40.7,140141.17
12.2,PhD,Analyst,3.2,4,59.5,145365.09
2.7,Bachelor's,HR,4.5,3,48.0,80586.24
2.3,PhD,Manager,3.2,4,55.5,128212.8
18.2,Bachelor's,Data Scientist,3.8,0,58.9,166959.5
13.5,Master's,Data Scientist,1.5,1,38.9,137486.95
16.7,Master's,Data Scientist,4.8,3,45.3,179410.48
17.6,Bachelor's,Software Engineer,3.3,3,56.6,157476.66
11.6,Bachelor's,Manager,4.1,3,43.0,140582.39
10.6,Master's,HR,5.0,0,22.1,122753.99
8.9,Bachelor's,Analyst,4.4,5,47.9,113880.19
6.7,Bachelor's,Data Scientist,3.0,5,57.4,122398.56
9.0,Master's,Manager,4.5,0,51.2,139515.3
15.6,Master's,HR,3.6,5,51.7,149019.72
12.2,Master's,Data Scientist,3.9,5,23.2,146834.16
17.9,Bachelor's,Manager,3.5,2,49.5,177271.35
9.1,Bachelor's,HR,2.2,5,21.3,96848.29
12.3,Master's,Manager,2.3,3,57.2,160912.27
12.8,Master's,Analyst,3.2,0,56.6,133426.74
12.0,Master's,Manager,4.5,1,59.2,160459.69
14.2,Master's,Manager,2.8,0,32.1,163717.23
5.1,Bachelor's,Software Engineer,3.2,0,41.6,105284.5
10.5,Bachelor's,Analyst,2.5,3,43.2,112680.28
2.5,PhD,Manager,1.1,4,42.3,116465.82
8.0,Master's,Analyst,3.6,1,36.5,111844.91
10.0,Master's,Manager,3.3,4,59.5,154881.02
13.2,PhD,Analyst,4.9,2,55.5,148473.77
19.0,PhD,HR,3.0,3,44.4,165322.9
12.2,Master's,Data Scientist,3.1,5,45.9,146405.55
15.0,Bachelor's,Software Engineer,2.1,4,48.6,140961.1
10.4,PhD,Data Scientist,1.4,0,44.1,146329.14
12.9,Master's,Manager,3.8,0,48.3,151863.32
1.9,Bachelor's,Manager,4.2,2,52.7,108280.3
5.5,Master's,HR,4.5,2,59.1,103838.7
7.6,Bachelor's,Manager,2.6,1,54.0,126573.85
9.7,PhD,Analyst,3.8,1,25.2,123815.98
1.4,Bachelor's,Data Scientist,2.1,3,41.9,84689.3
3.2,Master's,Manager,2.0,2,45.3,118354.89
5.9,Master's,HR,5.0,3,30.6,102852.43
19.4,Master's,Software Engineer,4.4,4,39.0,187139.64
7.0,Master's,Data Scientist,2.0,1,57.3,110559.3
9.9,PhD,HR,2.7,3,30.4,126736.41
4.3,Bachelor's,HR,3.3,2,32.7,80607.26
12.4,Bachelor's,Data Scientist,1.1,4,56.3,131157.05
6.0,Master's,HR,4.8,1,23.8,103723.85
4.5,Bachelor's,Software Engineer,1.4,3,55.2,92695.01
10.6,Bachelor's,Software Engineer,4.3,5,32.2,132615.44
0.6,Bachelor's,Manager,4.9,2,39.9,96882.43
0.6,Bachelor's,Analyst,3.8,3,45.7,72599.29
4.8,Master's,Manager,4.9,1,45.9,132251.99
1.2,Master's,Analyst,1.1,4,59.2,91499.5
2.6,Bachelor's,Data Scientist,2.4,0,21.4,80788.66
7.1,Master's,HR,2.9,5,48.2,114237.74
16.2,Bachelor's,Manager,4.1,4,53.8,179370.02
11.7,Master's,HR,3.6,3,43.5,131000.85
10.5,Bachelor's,Manager,3.9,3,59.0,150269.31
6.2,Master's,Manager,1.6,0,36.7,118011.0
18.7,Bachelor's,Software Engineer,4.4,3,50.0,165172.23
8.2,Bachelor's,Analyst,4.3,5,47.5,112058.03
2.2,Master's,Data Scientist,4.1,4,21.3,105576.78
12.5,Bachelor's,HR,4.3,1,42.1,120014.58
2.7,PhD,Manager,1.9,4,30.4,117892.05
7.2,Master's,HR,1.6,4,41.1,99409.19
10.4,Bachelor's,Software Engineer,4.6,5,55.4,135263.68
17.5,Master's,Data Scientist,4.8,5,45.2,185530.72
10.1,Bachelor's,Analyst,2.7,5,43.8,111844.74
14.2,Master's,Analyst,2.8,5,46.9,147844.38
19.9,PhD,Manager,4.0,4,41.1,209870.2
3.1,Bachelor's,Data Scientist,3.0,1,37.9,91440.06
5.9,Master's,Analyst,2.3,3,35.0,102283.7
8.2,Bachelor's,Data Scientist,1.8,4,48.0,123545.39
8.7,Master's,HR,1.1,1,51.0,103403.13
8.5,Bachelor's,Software Engineer,3.4,3,36.9,113940.77
18.2,Bachelor's,Data Scientist,1.6,1,21.7,149491.01
14.4,PhD,Data Scientist,4.4,1,41.7,166660.0
12.4,Bachelor's,Analyst,4.9,4,42.9,135693.23
6.5,Master's,Manager,2.8,0,39.2,126661.5
16.6,Master's,Manager,1.5,4,34.4,166421.66
19.1,Master's,HR,3.3,1,55.8,165179.07
16.5,Master's,Analyst,3.3,1,39.2,149417.56
0.5,Master's,Analyst,1.5,1,52.0,76320.39
12.9,Bachelor's,Software Engineer,3.6,2,45.5,140156.18
1.5,PhD,Manager,2.3,5,51.5,119263.35
5.5,Master's,Analyst,4.4,4,55.1,107248.05
1.7,Bachelor's,HR,3.4,0,29.7,61622.4
12.3,Bachelor's,Software Engineer,2.7,5,53.1,137139.65
13.9,Master's,Manager,4.9,3,48.8,175710.22
2.7,PhD,Manager,3.0,0,42.4,128583.64
8.0,PhD,Manager,4.5,5,41.8,161201.04
9.4,PhD,Software Engineer,2.1,0,32.5,123290.89
7.7,Bachelor's,HR,2.8,2,41.6,95159.98
2.9,PhD,HR,1.3,1,35.4,77081.31
8.7,PhD,Analyst,2.7,0,55.6,128561.98
15.1,Bachelor's,Analyst,4.6,5,43.3,144413.25
1.9,Bachelor's,Manager,4.3,1,32.0,101641.23
2.1,Bachelor's,Data Scientist,4.9,4,25.8,96814.97
7.4,Master's,Analyst,4.0,1,47.8,113662.18
18.9,Bachelor's,HR,2.1,5,46.6,146477.45
13.5,Bachelor's,Manager,1.6,1,34.4,145122.79
13.7,Bachelor's,HR,1.7,4,26.5,115099.45
7.6,Bachelor's,Manager,3.6,4,48.6,133683.86
12.1,Bachelor's,Software Engineer,2.5,5,30.8,132942.16
0.7,Master's,Analyst,2.7,5,54.5,87913.6
12.9,Bachelor's,Software Engineer,4.4,0,49.0,137853.92
18.3,PhD,Analyst,3.9,2,55.7,179296.3
12.4,PhD,HR,1.8,5,59.4,148754.19
17.5,PhD,HR,1.7,3,33.6,149783.82
14.6,Master's,Data Scientist,4.3,4,40.2,159722.65
2.9,Bachelor's,HR,4.8,4,36.2,82406.28
18.1,Bachelor's,Manager,1.7,3,23.1,164712.16
1.8,Bachelor's,Data Scientist,4.8,1,36.2,95539.94
10.9,PhD,Manager,2.7,4,37.8,163961.73
3.3,Bachelor's,Data Scientist,4.6,3,26.9,102029.06
0.7,Master's,Manager,4.0,0,55.3,101570.65
8.7,Master's,Data Scientist,4.6,5,31.7,139874.95
6.3,PhD,Analyst,3.6,2,50.3,126417.64
10.0,Master's,Analyst,1.6,4,23.1,118285.47
11.8,Master's,Data Scientist,1.2,3,21.2,135774.12
1.4,Bachelor's,Software Engineer,3.5,4,59.8,93982.44
2.9,Master's,Data Scientist,1.2,1,24.9,90270.67
11.4,Bachelor's,Software Engineer,1.9,4,50.6,130740.06
7.2,PhD,Manager,1.8,4,44.2,143455.49
14.7,Master's,Data Scientist,2.7,1,38.1,150145.17
13.2,Bachelor's,Software Engineer,3.4,4,21.5,137582.67
17.0,PhD,Data Scientist,4.6,5,33.1,186895.95
14.0,Bachelor's,Analyst,4.7,1,56.0,140379.42
8.9,PhD,Analyst,4.9,3,56.2,138472.24
13.6,PhD,Data Scientist,4.1,2,44.0,168175.54
5.9,Master's,Data Scientist,4.7,2,43.0,125194.57
6.5,Bachelor's,HR,4.2,3,37.0,96384.77
15.9,Bachelor's,Analyst,4.6,0,51.0,147407.43
9.2,PhD,Manager,1.4,0,55.3,150224.62
16.1,PhD,Data Scientist,4.8,5,49.1,182818.01
16.5,Bachelor's,HR,1.9,2,41.0,131597.63
17.2,Bachelor's,Data Scientist,3.3,3,45.4,156897.09
18.4,Bachelor's,Analyst,3.1,4,28.8,156374.74
8.9,PhD,Software Engineer,3.3,3,59.6,140233.49
6.7,Bachelor's,Software Engineer,3.8,1,57.4,108387.57
11.9,Bachelor's,Analyst,3.2,3,58.3,133211.83
7.7,Master's,Manager,3.8,5,26.7,138405.68
12.2,Bachelor's,HR,3.1,0,46.1,111170.42
14.3,PhD,Data Scientist,1.0,4,46.3,165744.24
13.9,Bachelor's,Data Scientist,3.5,4,34.2,147604.52
7.8,Bachelor's,Data Scientist,3.2,2,54.6,116643.4
3.8,Master's,HR,3.3,1,51.3,91756.78
8.9,Bachelor's,HR,1.0,4,48.8,101818.73
3.3,Bachelor's,Analyst,2.9,2,21.2,80692.6
17.9,Bachelor's,HR,4.5,4,59.6,155236.04
7.2,Bachelor's,Data Scientist,2.3,0,48.7,113739.02
3.5,PhD,Data Scientist,2.8,4,58.8,126696.85
1.0,Bachelor's,HR,1.5,0,23.5,52598.0
13.1,PhD,HR,2.8,5,47.8,152640.33
12.9,Master's,Analyst,2.6,3,49.8,139214.26
7.1,Bachelor's,Software Engineer,4.5,0,22.6,112798.83
1.9,Bachelor's,HR,1.1,5,22.6,63865.94
8.5,Master's,Software Engineer,4.8,0,50.5,133537.34
6.6,Bachelor's,Manager,3.3,0,51.9,122719.44
13.7,Bachelor's,Software Engineer,3.1,5,56.4,150160.11
12.3,Bachelor's,HR,4.5,4,50.9,125604.24
7.6,Master's,Data Scientist,1.8,5,29.6,121696.48
4.7,Master's,Data Scientist,1.8,1,58.7,115620.48
19.8,Bachelor's,HR,4.5,5,30.7,159461.83
9.4,Master's,Analyst,4.7,0,49.1,127500.36
13.9,Master's,HR,4.4,2,41.2,133544.46
3.2,Bachelor's,HR,1.2,4,24.9,66357.1
10.0,PhD,Analyst,3.6,1,57.1,133428.48
1.0,Master's,Analyst,2.8,1,43.5,84691.95
10.4,PhD,Manager,4.2,4,23.7,167279.04
19.3,Bachelor's,Manager,1.6,2,35.3,172860.31
8.0,PhD,Manager,4.7,3,50.6,158993.95
1.3,Master's,Analyst,2.3,4,44.7,84513.06
1.1,Master's,Software Engineer,2.3,1,28.9,81290.46
8.1,Master's,HR,1.7,3,42.8,105698.57
3.6,Bachelor's,Manager,1.0,1,32.4,94066.7
1.0,PhD,Software Engineer,2.3,0,41.1,94245.97
15.2,Master's,HR,1.6,3,32.7,134141.94
9.4,Bachelor's,Software Engineer,4.0,5,39.9,133383.06
6.1,Bachelor's,Data Scientist,4.0,4,53.7,118821.22
18.1,Bachelor's,Data Scientist,4.3,4,28.5,166570.67
2.8,Master's,HR,1.0,2,20.1,75574.87
19.1,Master's,Software Engineer,2.4,3,26.2,166447.13
6.6,Bachelor's,Software Engineer,1.0,2,53.7,112569.83
17.8,Bachelor's,Analyst,3.0,4,36.6,150640.48
12.3,Master's,Manager,4.6,2,49.6,154480.18
16.6,Master's,HR,2.6,3,21.2,139323.27
19.7,Bachelor's,Software Engineer,4.5,4,25.9,177785.05
6.1,Bachelor's,Manager,4.8,1,42.8,124902.49
19.2,Bachelor's,HR,2.0,4,48.8,147268.1
8.1,PhD,Software Engineer,1.0,2,51.5,129872.41
8.0,Master's,Data Scientist,4.0,2,45.7,125782.24
7.1,PhD,Software Engineer,3.3,4,50.3,130673.14
11.1,Bachelor's,Data Scientist,2.4,0,26.6,118040.51
3.5,PhD,Data Scientist,2.5,0,46.3,112288.7
11.3,Master's,Analyst,1.3,0,37.0,124237.03
11.1,Bachelor's,Analyst,4.5,1,56.6,125909.95
15.4,Bachelor's,Manager,2.0,1,44.6,158635.21
16.8,Master's,HR,1.4,1,41.7,137700.25
9.1,PhD,Manager,4.1,4,43.1,163038.88
6.4,Bachelor's,Analyst,2.9,5,53.3,99005.44
5.6,Bachelor's,Manager,4.1,4,20.5,118832.23
4.3,Master's,HR,4.6,3,54.4,103848.44
1.6,PhD,HR,2.5,0,21.2,79865.59
7.2,Master's,Software Engineer,1.2,3,43.3,118418.7
5.8,Bachelor's,Manager,2.0,0,40.1,110317.95
19.3,Bachelor's,Analyst,1.2,2,34.8,151441.67
11.4,Bachelor's,Software Engineer,1.6,3,25.1,123089.94
7.3,PhD,Manager,4.4,4,25.0,145722.8
11.8,Master's,HR,4.8,2,49.7,130666.41
3.2,Master's,Analyst,3.7,3,24.5,90857.49
9.2,Bachelor's,Manager,3.9,2,47.5,141378.82
12.7,PhD,HR,3.9,5,59.6,157569.49
10.0,Master's,HR,1.5,5,47.3,111262.33
8.3,PhD,Manager,1.2,5,23.0,142105.07
19.9,Master's,Manager,3.8,2,41.7,199095.13
17.7,Master's,Analyst,1.1,2,53.4,151957.06
12.7,Master's,Software Engineer,4.2,4,58.2,153867.74
11.6,Bachelor's,HR,3.4,2,49.1,119218.0
12.6,PhD,Software Engineer,1.5,4,32.4,144043.61
4.4,Bachelor's,Software Engineer,3.6,1,30.0,97327.02
8.2,Master's,HR,3.4,2,51.4,113305.25
1.3,PhD,Manager,2.5,0,50.4,115469.51
9.8,Bachelor's,HR,4.3,4,39.5,117372.18
11.1,Master's,Software Engineer,2.2,1,23.5,128574.29
4.9,Master's,Analyst,2.5,4,46.9,101341.36
19.3,Master's,HR,3.8,2,43.6,162592.28
18.2,PhD,Analyst,4.0,4,20.5,162808.7
14.6,Master's,Manager,2.1,3,45.7,170881.44
10.9,Master's,Manager,1.1,3,25.3,144834.68
17.5,Bachelor's,Analyst,1.7,0,53.0,142460.42
3.0,Bachelor's,Analyst,2.1,4,46.9,82591.79
15.9,Bachelor's,HR,4.6,2,22.1,140504.14
2.9,Master's,Manager,4.6,2,41.3,121262.3
16.0,Bachelor's,Analyst,3.6,5,52.2,146682.88
5.9,Master's,Data Scientist,3.8,5,53.2,121053.12
17.6,Bachelor's,HR,3.5,3,23.4,135549.9
18.9,Master's,HR,4.1,4,23.2,158821.13
3.4,Bachelor's,Data Scientist,2.4,2,51.0,97299.57
9.5,Master's,Manager,3.2,1,29.3,138948.52
19.6,Master's,Analyst,3.7,2,43.8,166990.99
9.9,PhD,Analyst,2.9,4,44.4,130962.14
17.3,Master's,Manager,4.1,3,45.2,189516.84
12.0,Master's,Data Scientist,4.7,1,33.5,147510.48
7.8,PhD,Data Scientist,3.7,2,21.6,140085.32
